Value,Reference,Manufacturer,Manufacturer Part Number,Distributor link,MANUFACTURER_PART_NUMBER,Price per unit,Quantity,Total price
Battery,"BT1,BT2,BT3,BT4",,,https://www.aliexpress.com/item/1005005859082063.html?spm=a2g0o.productlist.main.1.1df5jx7ljx7lIi&algo_pvid=285806a0-1c6c-4173-9bfc-c3eb5fdcf159&algo_exp_id=285806a0-1c6c-4173-9bfc-c3eb5fdcf159-0&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2165.20%2142.38%21%21%2144.16%2128.71%21%40%2112000034645083199%21sea%21CA%213114729883%21X&curPageLogUid=6vDQujQCxMPw&utparam-url=scene%3Asearch%7Cquery_from%3A,,5.6725,4,22.69
0.1uF,"C1,C2,C5,C6,C7,C8,C9,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28",Samsung Electro-Mechanics,CL05B104KA5NNNC,https://www.digikey.ca/en/products/detail/yageo/CC0805JRNPO9BN250/5884044,,0.12,23,2.76
1uF,"C3,C4",,TL8W9105M016C,https://www.digikey.ca/en/products/detail/vishay-sprague/TL8W9105M016C/9094810,,0.99,2,1.98
10uF,"C10,C46,C47",,CL31B106KAHNNNE,https://www.digikey.ca/en/products/detail/murata-electronics/GRM155R71C104KA88J/2610892,,0.15,3,0.45
100uF,C11,,GRM31CR61A107MEA8L,https://www.digikey.ca/en/products/detail/murata-electronics/GRM31CR61A107MEA8L/16033775,,0.72,1,0.72
BLUE LED,D3, Wurth,150080BS75000,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/150080BS75000/4489912,,0.3,1,0.3
RED LED,D5,ams-OSRAM USA INC.,LS R976-NR-1-0-20-R18,https://www.digikey.ca/en/products/detail/ams-osram-usa-inc/LS-R976-NR-1-0-20-R18/1227987,,0.24,1,0.24
AD7124-8BCPZ-RL7-adc,e1,Analog Devices Inc.,AD7124-8BCPZ-RL7,https://www.digikey.ca/en/products/detail/analog-devices-inc/AD7124-8BCPZ-RL7/5268028,,24.58,1,24.58
Polyfuse,F1,,1206L025/24YR,https://www.digikey.ca/en/products/detail/littelfuse-inc/1206L025-24YR/14320017,,0.85,1,0.85
Fiducial,"FID1,FID3",,,,,,,0
MountingHole,"H1,H2,H3,H5,H6,H7,H8",,,,,,,0
Battery connector,J1,,B2B-PH-K-S,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/B2B-PH-K-S/926611?utm_source=chatgpt.com,,0.18,1,0.18
Conn_01x03,J4,,,,,,,0
StrainConn,"J21,J22,J23,J24,J25,J26,J27,J28",,6.91138E+11,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/691137710004/6644053?s=N4IgTCBcDaIGwE4CMSDMB2dSAMuAsIAugL5A,,1.01,8,8.08
Jumper_3_Bridged12,JP2,,,,,,,0
Battery Holder,N1,"Seeed Technology Co., Ltd",114090052,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/114090052/10451909?s=N4IgTCBcDaIDoBcAEAhAggFQ0gEgeQBkARAUQCUkBGADgDYBWABiQBYkBhEggpAktIgGUQAXQC%2BQA,,2.19,1,2.19
NMOS,Q3,,NTR4003NT3G,https://www.digikey.ca/en/products/detail/onsemi/NTR4003NT3G/1967271?gclsrc=aw.ds&&utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&productid=1967271&utm_content=General&utm_id=go_cmp-17855401585_adg-_ad-__dev-c_ext-_prd-1967271_sig-CjwKCAjwq7fABhB2EiwAwk-YbFJqpYQlYIhkgtWqhIxcVob4GPSdEPXc6bIcNIfS9s96qRU90U7eOhoCR2AQAvD_BwE&gad_source=1&gbraid=0AAAAADrbLli6YGlW8y5wc6i5rQyT2Z2qc&gclid=CjwKCAjwq7fABhB2EiwAwk-YbFJqpYQlYIhkgtWqhIxcVob4GPSdEPXc6bIcNIfS9s96qRU90U7eOhoCR2AQAvD_BwE&gclsrc=aw.ds,,0.35,1,0.35
PMOS,"Q4,Q6",,NVTR01P02LT1G,https://www.digikey.ca/en/products/detail/onsemi/NVTR01P02LT1G/5969313?gclsrc=aw.ds&&utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&productid=5969313&utm_content=General&utm_id=go_cmp-17855401585_adg-_ad-__dev-c_ext-_prd-5969313_sig-CjwKCAjwq7fABhB2EiwAwk-YbCdzxZ8I_ROXJb3JHufdx-zHWTW_khwVTeU3PeYqFBXyUwEnEgnIlhoCDXMQAvD_BwE&gad_source=1&gbraid=0AAAAADrbLli6YGlW8y5wc6i5rQyT2Z2qc&gclid=CjwKCAjwq7fABhB2EiwAwk-YbCdzxZ8I_ROXJb3JHufdx-zHWTW_khwVTeU3PeYqFBXyUwEnEgnIlhoCDXMQAvD_BwE&gclsrc=aw.ds,,0.71,2,1.42
15K +-1%,R1,,CRG0805F15K,https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/CRG0805F15K/2380847,,0.16,1,0.16
330 +-5%,"R11,R13",,CR0805-JW-331ELF,https://www.digikey.ca/en/products/detail/bourns-inc/CR0805-JW-331ELF/3741034,,0.16,2,0.32
0K +-1%,"R14,R15",,ERJ-6DSFR20V, https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-6DSFR20V/6004398,,0.42,2,0.84
10K +-5%,"R16,R17,R20",,RC0805JR-0710KL,https://www.digikey.ca/en/products/detail/yageo/RC0805FR-0710KL/728241,,0.16,3,0.48
3.3K +-1%,R19,,RC0805FR-073K3L,https://www.digikey.ca/en/products/detail/yageo/RC0805FR-073K3L/727813,,0.16,1,0.16
1K,"R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36",,,,,,,0
SW_SPST_LED,SW2,,RR11131100-214,https://www.digikey.ca/en/products/detail/e-switch/RR11131100-214/3778115?gad_source=1&gad_campaignid=20282404290&gbraid=0AAAAADrbLlgKYCXDUGm39AbTaSdnIozWt&gclid=CjwKCAjwz_bABhAGEiwAm-P8Yf1h7_xSsN13Im8vYbs2LsR_xKRHquBcocs45ZBp8unURGRkxOgXrxoCH9cQAvD_BwE&gclsrc=aw.ds,,2.1,1,2.1
TestPoint,"TP3,TP4,TP5,TP54,TP55,TP56,TP57,TP58,TP59",,,,,,,0
MRF89XAM9AT-I/RM,U2,,150-MRF89XAM9AT-I/RMDKR-ND,https://www.digikey.ca/en/products/detail/microchip-technology/MRF89XAM9AT-I-RM/10520347?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Supplier_Focus%20Supplier&utm_term=&productid=10520347&utm_content=&utm_id=go_cmp-20282403582_adg-_ad-__dev-c_ext-_prd-10520347_sig-CjwKCAjw-qi_BhBxEiwAkxvbkL1anCtEOgZTHZnwc2xR1OXgP8zKw0z9FnALtF3LaodaGyvZDBLx-RoCnGEQAvD_BwE&gad_source=1&gclid=CjwKCAjw-qi_BhBxEiwAkxvbkL1anCtEOgZTHZnwc2xR1OXgP8zKw0z9FnALtF3LaodaGyvZDBLx-RoCnGEQAvD_BwE&gclsrc=aw.ds,,12.7,1,12.7
ICM-45605,U4,TDK InvenSense,ICM-45605 ,https://www.digikey.ca/en/products/detail/tdk-invensense/ICM-45605/24883424?_gl=1*m2llvq*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwnPS-BhBxEiwAZjMF0sZkpcV-zZfxWN_VXS3o9X93L80cpqtbKZ-XTpLZQtt6KBMVqUK9eRoCm7oQAvD_BwE&gclsrc=aw.ds,,7.96,1,7.96
NCP1117LPST50T3G,U10,,NCP1117LPST50T3G,https://www.digikey.ca/en/products/detail/onsemi/NCP1117LPST50T3G/2194022,,1.29,1,1.29
extra antenna,,,,,,,,12.7
,,,,,,,,
,,,,,,,,
,,,,,,,Total price,105.5
,,,,,,,PCB COST,100
